"","title","content","url"
"1","Companies offer heavy discounts on cars, SUVs as slowdown bites","NEW DELHI: It's not much of a festive season for car and SUV makers as the spike in fuel and insurance costs + as well as wealth destruction in the stock markets have dampened buyer sentiment, which is now delaying, or even putting off new purchases, replacements and upgrades. With inventory levels far above the average, companies have started throwing in massive discounts and other 'festive' offers to lure buyers and push sales.

Discounts are being offered on hatchbacks, sedans, and SUVs by companies, ranging from mass players such as Maruti Suzuki, Hyundai, Mahindra, Ford and Tata Motors, to luxury sellers like BMW, Audi and Mercedes-Benz. These offers range from Rs 50,000 on Maruti Alto mini, to Rs 70,000 on Mahindra Scorpio SUV, and going up to as high as Rs 14 lakh on BMW 7-Series saloon.

Going looks tough, even though the industry has managed to grow 7% in first half ending September 30 this fiscal. ""Sales have been muted due to factors such as low consumer sentiment + , high fuel prices and effects of monsoon in many parts of the country,"" Rajan Wadhera, head of industry body Siam and president of Mahindra & Mahindra's automotive division, said. ""People want to postpone purchases as running cost has shot up.""



Officials at Hyundai and Maruti agree. ""Sentiment remains weak. Apart from fuel and insurance costs, the recent political discourse in the run-up to the elections is also impacting buyer mood. As campaigning gets negative, buyers get apprehensive and unsure of future, and thus postpone big-ticket purchases,"" an official at Maruti told TOI.

YK Koo, MD & CEO of Hyundai India, said situation is ""not so healthy"". ""What is also troubling companies is the crash in the rupee, which has impacted our manufacturing costs. While our inputs are expensive, we cannot pass on the additional costs as sales are slow. Also, it is the festive period where people want lucrative deals."" RBI's Consumer Confidence Survey, released on October 5, said the consumer's perception on the general economic situation and employment scenario has worsened in September.


Rupee crashes to new record closing low of 74.06 against US dollar


Ravi G Bhatia, India president for global automotive data and consultancy firm JATO, said inventory levels at most of the dealerships remain ""substantially high"" and beyond average. ""While there has been a correction, inventory is still over 60 days for some companies. This is unhealthy."" Bhatia said dealers are also cautious in adding new inventory during year-end. ""With the model-year changing in 2019, no one wants to carry a large number of cars made in 2018 into the new year.""



Siam said forecast for this fiscal needs to be revised downward. ""While we had given a forecast of 9-11% at the beginning of this fiscal, growth is now expected only at the lower end,"" Wadhera said.


The situation remains grim even at the luxury-end where Mercedes-Benz saw a marginal decline in numbers. ""There is a liquidity crunch due to a cautious banking system, and traders and SMEs are not getting adequate funding to even meet business needs. Why would they replace or upgrade to an expensive car then?"" said one of the top luxury dealers in the national capital. ""The turmoil in the stock market has compounded the problem further. We do not expect the market to recover till the elections.""","https://timesofindia.indiatimes.com/business/business/india-business/companies-offer-heavy-discounts-on-cars-suvs-as-slowdown-bites/articleshow/66189391.cms"
"2","Internet banking may not work for some SBI users from December 1","NEW DELHI: The State Bank of India (SBI) has asked its users to register their mobile numbers, if not already done, with the lender if they want to continue internet banking services. The country's largest lender has, in a notification, said that if the registration of mobile numbers with the respective branches are not done before December 1, 2018, then internet banking facility may be blocked.

""Attention INB (internet banking) users, please register your mobile number with us immediately, if not already done, through Branch, failing which the Internet Banking facility may be blocked with effect from 01.12.2018,"" the SBI notification, on its website, stated.

SBI to have multiple modes of biometric authentication for apps


How to check if your mobile number is registered with the bank:

* Login to SBI website (www.onlinesbi.com)

* Go to 'My account' tab and click on 'Profile'

* Then, click on 'Personal details'


* Enter the profile password (which will be different from the login password)


* After entering the password correctly, registered mobile number will be displayed


For those, who haven't registered their contact number with the bank, visit your home branch.","https://timesofindia.indiatimes.com/business/business/india-business/internet-banking-may-not-work-for-some-sbi-users-from-december-1/articleshow/66193151.cms"
"3","Elon Musk-led Tesla actually files trademark application for 'Teslaquila'","NEW DELHI: What started as an April Fools’ Day joke that left a poor taste in Tesla Inc investors’ mouths may soon become a reality.

The electric-car maker submitted a trademark application on October 8 for Teslaquila, describing the planned product as a distilled agave liquor. It was filed as “based on intent to use,” which means Tesla doesn’t have the product ready just yet. The company needs to actually be making a product to obtain the trademark.

Tesla chief executive officer Elon Musk tweeted on Friday that the brand would be coming soon. Musk also posted a mock-up of roughly what the tequila bottle will look like.


Elon Musk
✔
@elonmusk
 · Oct 12, 2018
Teslaquila coming soon … 
https://
twitter.com/cnbci/status/1
050771311600041985 
…
Elon Musk
✔
@elonmusk
Visual approximation pic.twitter.com/sMn3Pv476Y
4:58 PM - Oct 12, 2018
50.1K
10.6K people are talking about this
Twitter Ads info and privacy


The phrase originated as an April Fools’ prank in which Musk tweeted that Tesla was going bankrupt. He posted jokingly that he had been “found passed out against a Tesla Model 3, surrounded by ‘Teslaquila’ bottles.”



Elon Musk
✔
@elonmusk
 · Apr 1, 2018
Replying to @elonmusk
There are many chapters of bankruptcy and, as critics so rightly pointed out, Tesla has them *all*, including Chapter 14 and a half (the worst one).
Elon Musk
✔
@elonmusk
Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks. 

This is not a forward-looking statement, because, obviously, what's the point?

Happy New Month! pic.twitter.com/YcouvFz6Y1
10:02 PM - Apr 1, 2018
119K
24.4K people are talking about this
Twitter Ads info and privacy


Tesla shares plunged the following trading day and closed down 5.1 percent on April 2. The stock has sold off more recently in no small part thanks to Musk’s tweets in August about taking the company private. He abandoned that effort in a matter of weeks and has agreed to settle a securities fraud lawsuit brought by the U.S. Securities and Exchange Commission.","https://timesofindia.indiatimes.com/business/business/international-business/elon-musk-led-tesla-actually-files-trademark-application-for-teslaquila/articleshow/66194854.cms"
"4","#MeToo: Companies rush to sensitise employees","MUMBAI: The #MeToo movement has resulted in a sudden surge in the number of organisations rushing to firms providing training solutions for sensitising the workforce and internal complaints committee (ICC) members to be fully compliant with the law on Prevention of Sexual Harassment at the Workplace (POSH).
Companies hastening to download material on the law and training modules in the last few days actually crashed the website of one such training solutions provider, Rainmaker.

Antony Alex CEO, Rainmaker, said: “We had built a robust website that could handle a large volume of traffic. However, over the last few days, the volumes dramatically spiked and many thousands of people were constantly trying to download free materials and posters on POSH, which we had created to sensitise and train employees as well as ICC members. Our website couldn’t handle the load and it crashed, for the first time since we started this business. Our IT team worked overnight to get it up and running.”


(The number of cases of sexual harassment being reported by 44 Nifty companies — a mandatory requirement in their annual reports — has gone up by over 48% in the last four years.)

Read also: Tata Motors sends corporate communications chief on leave after #MeToo allegation

A four-year-old firm, Rainmaker has seen a near 200% spike in the number of queries it has received over the last one week. The firm expects to clock a 250% jump in turnover this fiscal and the #MeToo movement would have a major part to play.

Cohere Consultants, a specialist in this field, is also seeing the number of queries growing by the day. Devika Singh, Cohere’s lead legal consultant & NGO founder, said sexual harassment inquiries and litigation are a great business opportunity. She said she has been receiving a lot of enquiries from lawyers who want to start of in this field.

“Right now with #MeToo, most companies have gone into a panic mode. There is a rush for trainings for employees on POSH,” said Singh, while adding that in dealing with sexual harassment cases, what’s required is empathetic listening to make the woman comfortable. “Such cases are not just a matter of documentation and legal processes. It’s largely about handling a person in trauma and two people who are in conflict in a system that may not be supportive in subtle ways due to deeply entrenched patriarchy,” said Singh, who holds training sessions for lawyers and ICC members on empathetic listening.

Complykaro Services founder and director Vishal Kedia said companies are reaching out to understand whether aggrieved women can make such complaints after several years and want to know the legal implications of non-compliance.

Over the last few days, small- and mid-sized companies have approached Rainmaker to set their house in order by training their ICC. “Some of the companies who earlier ignored our pitches are returning calls and are keen on conducting workshops for ICC members and sensitising their workforce,” said Alex, who has also taken on some clients free of charge to create awareness.

Singh said although there are limitations in the law that gives an outer period of 6 months within which a complaint needs to be lodged with the ICC, companies are asking whether anything can be done morally to help the woman.




Out of the 1,000-plus cases that Cohere Consultants has handled, Singh said complaints are the last resort as women make attempts to first ignore such behaviour, then avoid it, then compromise with it or try to fix it in indirect ways. “In 70% of the cases, the complainants’ ask is not that the harasser be removed from employment. In fact, most victims are so concerned of further violence in the form of acid attacks and other hostility and retaliation not only from the harasser but also colleagues, that this is their least preferred option. The majority just asks that the harasser be made to understand that what he has done is wrong, that it not happen again with them and that the harasser not repeat it with any other women. It is only when that does not work that they look at complaining to the ICC. This happens In 29% of the cases, which is a growing segment,” said Singh.


The balance 1% of cases may be false cases. But, Singh said these get magnified beyond reason, creating several biases. “I recently got a briefing on a case from the HR of a company, telling me even before an investigation has been done that this appears to be a false case. What has led to the perception is that the case has come after the performance evaluation process. A drop in performance of a person who is being sexually harassed at the workplace is but natural. It’s a traumatic situation. In Australia, there is a discussion whether sexual harassment should be treated as a public health issue,” said Singh.


In most organisations, the line manager is usually the first person of contact for an aggrieved woman to go for redressal. However, training is usually not provided to managers on handling such sensitive issues. Finally, it depends on the maturity and discretion of the manager on how to handle such cases. “Unfortunately, we concentrate on training women employees to speak up but we don’t train managers to listen without judgment — empathetically and sensitively. As an extension of the employer, it is a managers’ responsibility to bring such issues to the notice of the concerned ICC. However, most managers shift this onus onto the aggrieved woman and even take comfort if it’s a verbal complaint by the woman employee who usually is not in the frame of mind to file a formal complaint or is very hesitant to. When a manager comes up with half-hearted solutions, it demotivates and isolates the complainant whose resentment builds up not only against the harasser but also the manager and hence the company itself and eventually she may take to social media to vent out,” said Singh.","https://timesofindia.indiatimes.com/business/business/india-business/metoo-cos-rush-to-sensitise-employees/articleshow/66188489.cms"
"5","Window 'narrowing' for global economy, IMF warns","INDONESIA: The window of opportunity for safeguarding global growth is ""narrowing"" as trade disputes deepen and emerging markets face fiscal crisis, the IMF said on Saturday, warning countries against worsening things by weaponising currency and interest-rate policies.

US Treasury secretary Steven Mnuchin had downplayed the global concerns expressed at an International Monetary Fund meeting held this week in Bali under the shadow of US-China tensions, saying the world would benefit if Beijing is forced to changes its trade policies.

But the IMF said in a communique that while global growth currently remained ""steady"", the risks are ""increasingly skewed to the downside amid heightened trade tensions and ongoing geopolitical concerns"".

The fund kicked off its annual meeting with the World Bank on the Indonesian resort island earlier in the week in a gloomy mood, preoccupied by the trade tussle between the world's two biggest economies, and tightening financial conditions faced by emerging markets.

On Tuesday, it cut its outlook for global GDP growth by 0.2 percentage points to 3.7 per cent for 2018 and 2019, citing the trade war.

""The window of opportunity (is) narrowing,"" the 189-country organisation said, adding that members would ""refrain from competitive (currency) devaluations and will not target our exchange rates for competitive purposes"" -- a line apparently aimed at the US and China.

Mnuchin this week said he had told the head of China's central bank about his concerns over the weakness of its currency.

US President Donald Trump has accused Beijing of depreciating its currency to absorb the impact of US trade tariffs.

But Mnuchin, speaking on the Bali meeting's sidelines, declined to comment on whether Washington would declare Beijing a ""currency manipulator"" in a Treasury report due out next week.

That would be a first for China, triggering a process that could lead to punitive steps.

Mnuchin also pushed back against the growing global angst over the US-China trade fight, saying that pressuring Beijing into adopting more open trade policies would be good for all.

""Our objective with China is very clear: it's to have a more balanced trading relationship,"" he said.

""I think that if we are successful, this is very good for US companies, US workers, Europeans, Japan, all of our other allies, and good for China.""

The argument gained little traction in Bali on Saturday.

""Trade conflict would be bad for all economies, not just the US and China,"" Japanese central bank governor Haruhiko Kuroda said.

""This type of thing will not be good for the US economy, the China economy, but also for the economies of Asia and the world.""

Tensions have soared recently with Trump's administration rolling out billions of dollars in tariffs against China in a bid to tackle its trade deficit and rein in what Washington considers unacceptable Chinese trade practices.

Mnuchin said Washington's ultimate goal was a ""free, fair and reciprocal relationship"" with Beijing.

Attention has begun to turn toward hopes that Trump and Chinese President Xi Jinping could meet on the sidelines of the G-20 summit next month in Argentina and bury the hatchet with some sort of agreement.

Mnuchin said no decision had been made yet and the US was not -- ""for the moment"" -- requiring any Chinese concessions before Trump agrees to a meeting.


""To the extent that we can make progress toward a meeting, I would encourage that and that's something we are having discussions about,"" he told reporters.


World markets also have been roiled by a plunge in some emerging market currencies -- including Turkey and Argentina -- as domestic financial crises and higher US interest rates lure returns-hungry investors to the dollar.



The IMF statement said it would push to improve the World Trade Organisation and boost confidence in the global trading system.


It added that it would continue to help countries deal with the social and economic costs of ""pandemics, cyber risks, climate change and natural disasters, energy scarcity, conflicts, migration, and refugee and other humanitarian crises"".","https://timesofindia.indiatimes.com/business/business/international-business/window-narrowing-for-global-economy-imf-warns/articleshow/66193706.cms"
"6","US wants to prohibit data localisation, top trade official says amid looming RBI directive","WASHINGTON: The US wants to prohibit data localisation to ensure that there is a free flow of information across borders, a senior Trump administration official has said, amidst reports that major American IT companies are up in arms against the latest Indian directive which kicks off next week.

Data localisation is an act of storing data on any device that is physically present within the borders of a particular country where the data was generated.

The Reserve Bank of India (RBI), in a circular in April, said all system providers will have to ensure that the entire data relating to payment systems operated by them are stored in a system only in India. It gave time till October 15 to comply with the mandate.

""We want to have prohibitions on data localisation to ensure that there's free flow of information, free flow of data across borders, disciplines around countries requiring companies to give up their source code, permanent ban on taxation or duties on digital transmissions,"" Dennis Shea, Deputy US Trade Representative and US Ambassador to the WTO, told a Washington audience on Friday.

""And by the way, South Africa and India want to rethink the current moratorium on those duties,"" Shea said in response to a question at the Center for Strategic and International Studies (CSIS), a top American think-tank.

American financial companies are believed to have approached the administration against an RBI directive which, beginning October 15, requires them to store in India any payment-related data from transactions that take place inside the country.

India has rejected their request of mirroring.

""If implemented, this policy will put an unnecessary burden on American companies and hurt consumers, who will endure higher costs and increased cybersecurity risks,"" Republican Strategist Andy Surabian, who is also a political adviser to Donald Trump Jr, wrote in BreitBart News this week.

""And they are planning to do all of this in spite of the unprecedented level of economic support the US has provided India over the course of decades. The Trump administration should stand up to these reckless actions, just like they have done in other situations when Americans were getting bullied and pushed around,"" Surabian demanded.

During his CSIS appearance, Shea did not specifically pointed out India on the data localisation issue, but made his views pretty clear where the Trump administration stands on this issue.


Shea said the US is very engaged at the multilateral issue and has a very high-ambition approach to that.


The general view is that the negotiation part of this process may begin early next year, or perhaps a ministerial statement around Davos.



Other members of the WTO, he said, have lower ambitions so ""how this works out still remains to be seen,"" he added.


Mobile messaging platform WhatsApp has said it has built a system that stores payments-related data in India, in line with RBI's data localisation policy.","https://timesofindia.indiatimes.com/business/business/india-business/us-wants-to-prohibit-data-localisation-top-trade-official-says-amid-looming-rbi-directive/articleshow/66192350.cms"
"7","Shoppers from tier II, III cities throng e-commerce sites for festive offers","New Delhi, Oct 14 () E-commerce companies like Amazon, Flipkart, Snapdeal and others have had a stellar festive season so far and have clocked billions of dollars worth of sale, as shoppers thronged to cash in on the attractive offers available on these platforms.
For most players, a big chunk of the new shoppers logged in from tier II and III cities and towns - a trend that is likely to continue till Diwali as these platforms continue to present more offers and schemes to woo customers.
According to Amit Agarwal, Senior Vice President and Country Head at Amazon India, three times more new customers have shopped on the company's platform for the first time during this sale, with a large portion of these customers coming from tier II and III cities.
Arch-rival Flipkart said it has seen record-breaking numbers across categories, including mobile phones, large appliances, and private labels from across the country. Flipkart CEO Kalyan Krishmamurthy had indicated that the company is likely to meet its targets by the fourth day of the sale itself. Latest numbers from the sale of these two giants were not available.
According to market watchers, presence of big brands on these sites, coupled with availability of discounts and easy finance schemes has played a key role in getting customers (especially from smaller towns) to shop online.
Paytm Mall COO Amit Sinha said its platform has received over 60 million visitors from more than 100 cities other than metro cities.
""...a lot of buyers are from tier II and III cities and are first time buyers ... (Paytm Mall) clocking a run-rate of over USD 5 billion in sales,"" he added.
For Snapdeal, new buyers account for about 38 per cent of all orders placed during the sale so far.
ShopClues, which crossed the 1.5 million-orders mark Sunday, said it has seen strong buying patterns from tier III and IV towns, especially from states like Karnataka, Kerala, Tamil Nadu, Assam, Gujarat, and Punjab.
Paytm Mall kicked off its festive sale from October 9, while the others began a day later. While the first leg of the sale ends on these platforms on Sunday and Monday, more offers are expected to be rolled out as Diwali approaches.
E-commerce companies in the country are estimated to have already clocked sales worth USD 1.5 billion (Rs 11,085 crore) in less than three days of festive sale, according to RedSeer Consulting.
This, according to the research firm, was achieved as consumers thronged the online platforms to buy smartphones (sale of 4.6 million units, translating into USD 800 million), large appliances (USD 170 million) and fashion (USD 120 million).
The industry is on track to reach the USD 3 billion-mark -- twice that of last year -- by the end of the five-day festive period, it had added. SR SR BAL BAL","https://timesofindia.indiatimes.com/business/business/india-business/shoppers-from-tier-ii-iii-cities-throng-e-commerce-sites-for-festive-offers/articleshow/66206510.cms"
"8","RCEP trade ministers urge members to put all efforts to conclude negotiations","New Delhi, Oct 14 () Trade ministers of 16-member RCEP bloc, including India and China, have urged all participating countries to continue to exert all efforts for early conclusion of the negotiations, the commerce ministry said Sunday.
The progress of the talks for the mega trade deal RCEP (Regional Comprehensive Economic Partnership) was discussed during the two day meet of ministers in Singapore, concluded Saturday.
""While appreciating some narrowing of gaps, the Ministers urged all RECP Participating Countries to continue to exert all efforts towards meeting the targets set in the package of year end deliverables,"" the ministry said in a statement.
Minister of State for Commerce and Industry C R Chaudhary attended the 6th RCEP Inter-sessional Ministerial Meeting (IMM) in Singapore on 12-13 October.
Chaudhary also held bilateral meeting with Trade Minister of Singapore. The island nation sought India's help in early conclusion of RCEP negotiations, it said.
Next round of meeting at chief negotiators level is scheduled to be held in Auckland later this month.
Earlier a joint statement issued after the meeting of trade ministers in August has stated that the countries adopted a package of year-end deliverables developed by the trade negotiating committee.
The ministers had expressed hope that completion of the package would signify the substantial conclusion of the RCEP negotiations this year. However, Commerce Minister Suresh Prabhu had earlier stated that the talks would continue for next year.
RCEP aims to cover goods, services, investments, economic and technical cooperation, competition and intellectual property rights.
The RCEP is a proposed free trade agreement being negotiated by 16 countries, including 10 Asean members (Brunei, Cambodia, Indonesia, Malaysia, Myanmar, Singapore, Thailand, the Philippines, Laos and Vietnam) and their six free trade agreement partners - India, China, Japan, South Korea, Australia and New Zealand, since November 2012.
The meeting assumes significance as there is a tremendous pressure on India to conclude the negotiations as early as possible despite the fact that several issues pertaining to goods and services have yet to be agreed upon by the member countries.
The mega pact aims to relax norms and significantly cut import duties to boost trade in goods, services, promote investments, technical cooperation, and intellectual property rights. RR BAL","https://timesofindia.indiatimes.com/business/business/india-business/rcep-trade-ministers-urge-members-to-put-all-efforts-to-conclude-negotiations/articleshow/66206424.cms"
"9","Government invites bids for international Udan flights","MUMBAI: The central government has invited proposals from interested air operators for the international version of its 'Udan' (Ude Desk Ka Aam Nagrik) scheme as it seeks to enhance air connectivity from India to select overseas destinations.

This is despite the domestic format of the scheme failing to yield desired results with almost half of the routes approved in the first phase of the bidding for the scheme still to be launched.

National airports operator AAI, which has been mandated to implement the international version of the Udan scheme, has invited ""e-proposals (bids) from international bidders for selection of airlines under the International Air Connectivity Scheme, IACS Udan,"" according to a notice in a leading English daily.

The government, in its bid to make flying more affordable for masses, had in October 2016 announced the Udan scheme with airfares capped at Rs 2,500 for a one-hour journey through subsidised ticket rates and to provide air connectivity to smaller towns.

In the subsequent developments, five airlines were mandated to fly on 128 regional routes in the first phase of the bidding in March 2017, and 15 airlines on 325 regional routes, including those having chopper operations, in the second phase in January this year.

The Airports Authority of India (AAI) is also the implementing agency for the domestic format of the regional connectivity scheme.

The bids could be submitted to the AAI by November 22, according to the notice inviting e-proposals.

The AAI has invited the bids on behalf of the civil aviation ministry and the Assam government, as per the notice.

The central government had in August unveiled a draft scheme for extending the UDAN scheme to international circuits, with state governments identifying routes for the operations.

The draft International Air Connectivity (IAC) scheme envisages to increase the international ticketing to 20 crore by 2027.

As per the draft, the scheme is to be made operational only for states which demonstrate their commitment to implement and provide the requisite support for promoting operations under the scheme.


The BJP-ruled Assam had last year offered to provide Rs 100 crore as viability gap funding towards extension of the scheme for international air connectivity from the state capital Guwahati.

According to the draft scheme, state governments will identify the routes to be connected, and airline operators will assess demand on the identified routes and submit proposals for providing connectivity.


Operations under the scheme will be permitted through fixed-wing aircraft only with more than 70 seats.


The scheme has proposed to set up an International Air Connectivity Fund (IACF) -- dedicated for providing subsidy support under the scheme. It will be created through the contributions of state governments.","https://timesofindia.indiatimes.com/business/business/india-business/government-invites-bids-for-international-udan-flights/articleshow/66204290.cms"
"10","Results, rupee movement to guide mkts this week: Experts","New Delhi, Oct 14 () Quarterly earnings from blue-chips like Infosys and RIL as well as movement of the rupee and crude oil prices will dictate the market trend in the holiday-shortened week ahead, say experts.
Stock markets would remain closed on Thursday for Dussehra.
""Currently, broader markets look attractive while investors may seek more clarity from upcoming quarterly results. The continuity of this trend largely depends on stability on bond yields and INR.
""However, worries about US Fed rate hike, US-China trade dispute and political uncertainties in India on account of upcoming state elections may impact sentiment in the short-term,"" said Vinod Nair, Head of Research, Geojit Financial Services.
""Companies like Infosys, Federal Bank, ACC, Reliance are to announce their results this week,"" said Prateek Jain, Director, Hem Securities.
Over the last week, the BSE 30-share Sensex gained 356.59 points to close at 34,733.58 on Friday.
""Fundamentals are lined up with quarterly result numbers of crucial companies such as Infosys and Hero MotoCorp which may have a larger impact on specific sectors... while on economic front we have WPI inflation,"" said Mustafa Nadeem, CEO, Epic Research.
Also, IIP and retail inflation data announced post market hours Friday might have some bearing on sentiments when bourses open for trade Monday, experts said. SUM ABM ABM","https://timesofindia.indiatimes.com/business/business/india-business/results-rupee-movement-to-guide-mkts-this-week-experts/articleshow/66203733.cms"
